001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"T219648","1741",,,,,"Selectae e profanis scriptoribus historiae,","quibus admista sunt varia honeste vivendi praecepta, ex iisdem scriptoribus deprompta. ","Editio altera.","Londini :","apud Carolum Hitch,","1741. ","xvi,[8],336p. ","12⁰. "
"T220098","1757",,,,,"Pious breathings. Being the meditations of St. Augustine, his treatise of the love of God, soliloquies, and manual.","To which are added, select contemplations from St. Anselm and St. Bernard. Made English by George Stanhope, ...","The fifth edition.","London :","printed for D. Browne, J. Clarke, J. Hodges, H. Whitridge, T. Trye [and 11 others in London],","1757.","[8],415,[1]p.,plates ","8⁰."
"T220369","1742","Pope, Alexander,",,,"1688-1744.","Melanges de litterature et de philosophie.","... Ouvrages de M. Pope, traduits de l'anglois, ... ",,"Londres :","chez Guillaume Darres,","1742. ","2v.,plate ","12⁰. "
"T220539","1760",,,,,"Two letters from Dr. Bentley in the shades below, to Ld. O. in a land of thick darkness.",,,"[London?,",,"1760?]","32p. ","12⁰."
"T220676","1728","Moray, Charles Stuart,","Earl,",,"ca. 1660-1735.","Alexander Duke of Gordon, and Elisabeth Dutchess-dowager of Gordon, appellants. Charles Earl of Moray, Sir Harry Innes, and Sir James Suttie, baronets, and William Duff of Braco, Esq; respondents. The respondents [sic] case.",,,"[London,",,"1728]","3,[1]p. ","2⁰."
"T220849","1756","Kennedy, John,",,,"d. 1760.","Two dissertations on the subject of Carausius,","Emperour of Britain, together with that of his supposed wife and son a 3d. also of him and his successor Allectus. Illustrated with three copper plates, of hitherto unpublished coins. To which is added a letter to the Reverend Dr. S--k--y on the first volume of his extraordinary medallick history of Carausius, observing the many mistakes, unwarrantable assertions, and amazing productions therein.",,"London :","printed for W. Owen,","[1756?]","2v.,plates ","4⁰."
"T222422","1763",,,,,"A list of the Society of Antiquaries of London, May 19, MDCCLXIII. ...",,,"[London,",,"1763]","1 sheet ","1⁰."
"T222585","1738","Grey, Richard,",,,"1694-1771.","Tabula exhibens paradigmata verborum Hebraicorum regularium & irregularium per omnes conjugationes, modos, tempora, & personas, quam in gratiam juventutis phil-Hebrææ plenius & accuratius excudi fecit R. Grey, ... ",,,"Londini :","typis Gul. Bowyer: impensis J. Stagg,","1738. ","1 sheet ","1/2⁰. "
"T222777","1716","Chaucer, Geoffrey,",,,"d. 1400.","Proposals for printing by subscription, the works of the celebrated and ancient English poet Jeoffrey Chaucer: carefully compar'd, not only with former editions of value, but with many rare and ancient manuscripts: from the collating of which the text is in great measure restor'd and perfected; many errors and corruptions that have crept in, and continued in all the editions hitherto printed, are amended; and many whole lines, omitted in all the printed editions, are inserted in their proper places. Three entire new tales of this author in manuscript (never yet printed) have been recovered, and will be added to this edition; by which alterations, amendments, and additions, this work is in a manner become new. This work was at first undertaken and was very near compleated by John Urry, student of Christ-Church, Oxon. And is now finish'd from his papers by a member of the same college. A more useful and copious glossary, for the better understanding of this poet, than has yet been printed, will be added at the end by Anthony Hall, A.M. Fellow of Queen's-College, Oxon. N.B. One third of the monies, that shall arise from subscriptions, will be employ'd towards the finishing of Peck-Water Quadrangle in Christ-Church; so that all subscribers to this edition will be benefactors to that college. ",,,"[London,",,"1716] ","[4]p. ","2⁰. "
"T222939","1736",,,,,"Ratio illustris ordinis,","cui a Sinape nomen est.",,"[London :","s.n.,","1736]","8p.,plate ","4⁰."
"T223334","1772","Dawson, John,","A.B.",,,"Lexicon Novi Testamenti alphabeticum,","nunc primum plenè editum: omnes voces tam primitivas quàm derivativas, anomalas atque communes in sacro textu occurrentes, cum earum resolutione grammaticâ, complectens. In usum scholarum. Studio et labore Joan. Dawson, A.B.","Editio quarta. Cui accedunt voces plusquam septingentae.","Londini :","impensis J. Rivington, S. Crowder, Hawes, Clarke et Collins, G. Robinson; et J. Pote, Etonae,","MDCCLXXII. [1772] ","4,419,[1]p. ","8⁰."
"T223350","1770",,,,,"Elegy to the memory of the Right Honourable the Marquis of Granby.",,,"[London] :","Printed for J. Dodsley, in Pall-Mall,","MDCCLXX. [1770] ","11,[1]p. ","4⁰."
"T223811","1778",,,,,"Characteres Anglo-Saxonici per eruditam fæminam Eliz. Elstob ad fidem codd. mss. delineati.","quorum tam instrumentis cusoriis quam matricibus donata est Univ. 1753.",,"[London? :","s.n.,","1778?]","1 sheet ","1/8⁰."
"T224283","1770","Junius,",,,"18th cent.","A complete collection of Junius's letters, with those of Sir William Draper.",,,"London :","printed for A. Thomson,","1770.","[4],158,[2]p. ","8⁰."
"T224311","1741","Ozinde, J. B.",,,,"A new compendious French grammar.","For the use of schools. Particularly adapted to the genius of the English language. By the help of which, any English Learner, even of a moderate capacity, may be enabled to read, write, and speak French correctly and fluently, in a short time. To which is prefix'd A letter from the author to a friend in the country; shewing a familiar method of rendering this short grammar universally useful to scholars, with less expence of time and trouble to masters, than has hitherto been thought requisite. With the addition of polite and easy dialogues on several subjects. By J. B. Ozinde, author of the large rational and practical French grammar. ",,"London :","printed for the author, and sold by John Hawkins, at the Golden Lion in St. Paul's Church Yard,","MDCCXLI. [1741] ","[8],125,[3]p. ","8⁰. "
"T224345","1730",,,,,"An act for repairing and amending the several roads leading from Woodstock through Kiddington and Enston to Rollright-Lane,","and from Enslow Bridge to Kiddington aforesaid in the County of Oxford. ",,"[London :","s.n.,","1730?] ","11,[1]p. ","2⁰. "
"T224407","1750","Mangey, Thomas,",,,"1688-1755.","Practical discourses upon the Lord's prayer.","Preached before the Honourable Society of Lincoln's Inn. By Thomas Mangey, ...","The fourth edition.","London :","printed for William Innys,","1750.","[8],245,[3]p. ","8⁰."
"T224547","1722","Sawyer, Edmund,",,,"d. 1759.","Proposals for printing by subscription, the state papers of the Right Honourable Sir Ralph Winwood, ... in two volumes in folio. By Edmund Sawyer ... ",,,"[London,",,"1722] ","[2],2p. ","2⁰. "
"T224567","1732","Drake, Francis,",,,"1696-1771.","Proposals for printing by subscription, Eboracum: or, the history and antiquities of the city of York,","... collected from authentick MSS. publick records, antient chronicles, and modern historians. By Francis Drake, ... ",,"[London,",,"1732] ","[4]p. ","2⁰. "
"T224674","1727","Gibbs, James,",,,"1682-1754.","Proposals for printing by subscription, plans, uprights, sections and perspectives of buildings; as, the churches of St. Martin in the Fields, St. Mary le Strand, ... By James Gibbs. ...",,,"[London :","s.n.,","1727]","1 sheet ([1] p.) ","1/4⁰."
"T224675","1727","Gibbs, James,",,,"1682-1754.","Proposals for printing by subscription, plans, uprights, sections and perspectives of buildings; as, the churches of St. Martin in the Fields, St. Mary le Strand, ... By James Gibbs. ...",,,"[London,",,"1727]","1 sheet ","1/2⁰."
"T224677","1722","Selden, John,",,,"1584-1654.","Joannis Seldeni jurisconsulti opera omnia, tam edita quam inedita.","In tribus voluminibus. Collegit ac recensuit; vitam auctoris, præfationes & indices adjecit David Wilkins, ... This work is propos'd to be publish'd by subscription, on the conditions following. ...",,"[London :","s.n.,","1722]","[4] p. ","2⁰."
"T224808","1733","Willis, Browne,",,,"1682-1760.","A table of the gold coins of the kings of England.","By B.W. Esq; a member of the Society of Antiquaries, London 1733.",,"[London :","s.n.,","1733]","3, [1] p. ","2⁰."
"T224841","1728",,,,,"Considerations upon the bill for encouraging seamen to enter voluntarily into His Majesty's service. ",,,"[London? :","s.n.,","1728] ","3, [1] p. ","2⁰. "
"T224955","1742",,,,,"Arturi Jonstoni Psalmi Davidici, cum metaphrasi Græca Jacobi Duporti, Græcæ linguæ apud Cantabrigienses Exprofessoris Regii. ",,,"Londini :","apud W. Innys, D. Browne, et Paul. Vaillant. Typis Gul. Bowyer,","1742. ","[2],ccxxiv;2-224,[1]p. ","8⁰. "
"T225832","1736","Folkes, Martin,",,,"1690-1754.","A table of English gold coins,","from the eighteenth year of King Edward III. when gold was first coined in England. ... By Martin Folkes, Esq. ",,"London :","printed for the Society of Antiquaries,","1736. ","8p. ","2⁰. "
"T225833","1734",,,,,"Decanus et collegium facultatis theologicæ in Universitate Tubingensi L. S.",,,"[London :","Ad exemplar Tubingense, Londini, Typis Bowyerianis expressum,","1734]","8p. ","4⁰."
"T226277","1769",,,,,"The French lady.","A novel. In two volumes. ...",,"London :","printed for T. Lowndes,","1769.","2v. ","8⁰."
"T226299","1745","Pope, Alexander,",,,"1688-1744.","An essay on man.","By Alexander Pope Esq. Enlarged and improved by the author. With notes by William Warburton, M.A.",,"London :","printed for John and Paul Knapton,","1745.","xxviii,66,[2]p.,plate ","8⁰."
"T226383","1732","Myself.",,,,"A turd is as good for a sow as a pancake.","Or the story of a cock and a bull, calculated for the improvement of the modern wits; wherein the bombast is clearly set forth, with all its dangerous Consequences: Besides an Argument to prove, That no Body ought to appear in the World but him who is the Master of Nonsense. Written by Myself, Esq; Professor of Dulness, and Porter to the Grub-Street-Society. ",,"[London] :","Dublin, printed: London, re-printed for J. Roberts in Warwick-Lane,","1732. ","[2],26p. :","8⁰. "
"T226435","1767","Lowth, Robert,",,,"1710-1787.","A short introduction to English grammar:","with critical notes.","A new edition, corrected.","London :","printed for A. Millar; and T. Cadell; and J. Dodsley,","1767.","xi,[1],146,[2]p. ","12⁰."
"T227120","1737",,,,,"Orders made by the trustees of Dr. Busby's charity to regulate the form of certificates, without an exact conformity to which, no certificate will be admitted for the future. ",,,"[London :","s.n.,","1737] ","1 sheet ([1] p.) ","1/4⁰. "
"T227731","1726","Cunningham, James,",,,"d. 1728.","Unto the Right Honourable, the Lords of Council and Session, the petition of James Cunninghame of Auchinharvie, ... ",,,"[Edinburgh,",,"1726] ","2p. ","1/2⁰. "
"T227854","1728","Chishull, Edmund,",,,"1671-1733.","Antiquitates Asiaticæ Christianam æram antecedentes","ex primariis monumentis Græcis descriptæ, Latinè versæ, notisque & commentariis illustratæ. Accedit monumentum Latinum Ancyranum. Per Edmundum Chishull, S.T.B. ",,"Londini :","typis Guil. Bowyer,","1728-[31?] ","[12],207,[1],8;12p.,plates :","2⁰. "
"T228048","1746",,,,,"Novum Testamentum Domini nostri Jesu Christi:","Interprete Theodoro Beza.",,"Londini :","apud G. Innys, A. Ward, S. Birt, T. Longman, C. Hitch, & J. & J. Rivington,","MDCCXLVI. [1746] ","347,[1]p. ","12⁰."
"T228086","1730","Thomson, James,",,,"1700-1748.","The tragedy of Sophonisba.","Acted at the Theatre-Royal in Drury-Lane. By His Majesty's servants. By Mr. Thomson. ",,"London :","printed for A. Millar,","1730. ","[8],75,[5]p. ","8⁰. "
"T228087","1730","Thomson, James,",,,"1700-1748.","The tragedy of Sophonisba.","Acted at the Theatre-Royal in Drury-Lane. By His Majesty's servants. By Mr. Thomson. ",,"London :","printed for A. Millar,","1730. ","[8],75,[5]p. ","8⁰. "
"T228088","1730","Thomson, James,",,,"1700-1748.","The tragedy of Sophonisba.","Acted at the Theatre-Royal in Drury-Lane. By His Majesty's servants. By Mr. Thomson ",,"London :","printed for A. Millar,","1730. ","[8],75,[5]p. ","8⁰. "
"T228089","1730","Thomson, James,",,,"1700-1748.","The tragedy of Sophonisba.","Acted at the Theatre-Royal in Drury-Lane. By His Majesty's servants. By Mr. Thomson. ",,"London :","printed for A. Millar,","1730. ","[8],75,[5]p. ","8⁰. "
"T228257","1732","Cole, William,","deputy surveyor of the South Level.",,,"To the Honourable Edward Harrison, Esq; surveyor general of the Great Level of the Fenns called Bedford Level. ",,,"[Cambridge?,",,"1732] ","12p. ","2⁰. "
"T228519","1752","Henry, Matthew,",,,"1662-1714.","The communicant's companion:","or, instructions and helps for the right receiving of the Lord's Supper. By Matthew Henry, ...","The fourteenth edition, corrected.","London :","printed for R. Ware, S. Birt, T. Longman, C. Hitch and L. Hawes, J. Oswald, J. Davidson, J. Buckland, J. Ward, and M. Cooper,","1752.","xii,348p. ","12⁰."
"T229431","1771","Warner, Richard,",,,"1713?-1775.","Plantae Woodfordienses a catalogue of the more perfect plants growing spontaneously about Woodford in the county of Essex.",,,"London :","printed for the author,","1771.","vii,[1],238,[2]p. ","8⁰."
"T229562","1741","Stillingfleet, Benjamin,",,,"1702-1771.","Traité mathematique sur le bonheur,","par Irenée Krantzovius. Ouvrage traduit de l'allemand en anglois avec des remarques par A. B. Et traduit de l'anglois en françois, avec une lettre préliminaire par le traducteur françois. ",,"Londres :","chez Guillaume Darrés,","1741. ","66p. ","12⁰. "
